ID,Country ,Country Code,YEAR,Population,Electricity 
SYC2016,Seychelles,SYC,2016,94677,100
ATG2017,Antigua and Barbuda,ATG,2017,95426,100
SYC2017,Seychelles,SYC,2017,95843,100
ATG2018,Antigua and Barbuda,ATG,2018,96286,100
SYC2018,Seychelles,SYC,2018,96762,100
ATG2019,Antigua and Barbuda,ATG,2019,97118,0
SYC2019,Seychelles,SYC,2019,97625,0
ATG2020,Antigua and Barbuda,ATG,2020,98000,0
SYC2020,Seychelles,SYC,2020,98000,0
TON2016,Tonga,TON,2016,101133,97.02
TON2017,Tonga,TON,2017,101998,97.98391724
TON2018,Tonga,TON,2018,103197,98.89260101
TON2019,Tonga,TON,2019,104494,0
ABW2016,Aruba,ABW,2016,104872,100
ABW2017,Aruba,ABW,2017,105366,100
ABW2018,Aruba,ABW,2018,105845,100
TON2020,Tonga,TON,2020,106000,0
VIR2020,Virgin Islands (U.S.),VIR,2020,106000,0
ABW2019,Aruba,ABW,2019,106314,0
VIR2019,Virgin Islands (U.S.),VIR,2019,106631,0
VIR2018,Virgin Islands (U.S.),VIR,2018,106977,100
ABW2020,Aruba,ABW,2020,107000,0
VIR2017,Virgin Islands (U.S.),VIR,2017,107268,100
VIR2016,Virgin Islands (U.S.),VIR,2016,107510,100
VCT2016,St. Vincent and the Grenadines,VCT,2016,109459,99.82214355
VCT2017,St. Vincent and the Grenadines,VCT,2017,109827,99.98304749
VCT2018,St. Vincent and the Grenadines,VCT,2018,110210,100
FSM2016,"Micronesia, Fed. Sts.",FSM,2016,110215,78.00147247
GRD2016,Grenada,GRD,2016,110261,93.61727905
VCT2019,St. Vincent and the Grenadines,VCT,2019,110589,0
GRD2017,Grenada,GRD,2017,110874,94.53491211
VCT2020,St. Vincent and the Grenadines,VCT,2020,111000,0
GRD2018,Grenada,GRD,2018,111454,95.29198456
FSM2017,"Micronesia, Fed. Sts.",FSM,2017,111459,80.13088226
GRD2019,Grenada,GRD,2019,112003,0
KIR2016,Kiribati,KIR,2016,112524,93.57081604
FSM2018,"Micronesia, Fed. Sts.",FSM,2018,112640,82.09972382
GRD2020,Grenada,GRD,2020,113000,0
FSM2019,"Micronesia, Fed. Sts.",FSM,2019,113815,0
KIR2017,Kiribati,KIR,2017,114158,98.6
FSM2020,"Micronesia, Fed. Sts.",FSM,2020,115000,0
KIR2018,Kiribati,KIR,2018,115847,100
KIR2019,Kiribati,KIR,2019,117606,0
KIR2020,Kiribati,KIR,2020,119000,0
